,tag1
2615,"brother dr-2385 drum cho máy_in hl-l2321d , hl-2361dn , hl-2366dw , mfc-l2701d , mfc-l2701dw - hàng chính hãng-thương_hiệu brother xuất_xứ trung_quốc sku 8500051846029 dưới 1 triệu"
2616,"máy_in_phun màu canon pixma_g1010 - hàng chính hãng-thương_hiệu canon xuất_xứ thương_hiệu nhật_bản kết_nối usb_2.0 kích_thước 44.5 x 52.9 x 25.3 cm_độ phân_giải 4800 x 1200 dpi phụ_kiện đi kèm 4 lọ mực màu canon chính hãng model_g1010 xuất_xứ việt_nam loại sản_phẩm máy in phun hệ điều_hành windows 10 , windows_8.1 , windows 7 sp1 tốc_độ 8.8_ipm ( mono ) / 5.0 ipm ( colour ) sku_3520625584732 dưới 100 triệu"
2617,usb sandisk_cz430_ultra_fit_32gb - usb_3.1 - hàng chính hãng-thương_hiệu sandisk xuất_xứ trung_quốc sku 7051451231096 dưới 1 triệu
2618,tp-link hệ_thống wifi mesh cho gia_đình cho độ phủ tối_đa chuẩn_ac_1200m bps deco_e4 ( 3 packs ) - mesh wifi hàng chính hãng-thương hiệu tp-link xuất_xứ thương_hiệu trung_quốc phụ_kiện đi kèm deco_e4 ( 3 - pack ) 3 thiết_bị deco 1 cáp ethernet rj45 3 bộ_chuyển_đổi nguồn 1 hướng_dẫn cài_đặt nhanh model_deco_e4 ( 3 - pack ) xuất_xứ trung_quốc sku_6260527694760 dưới 100 triệu
2619,"màn_hình dell_p2418ht 24 inch ips full hd cảm_ứng - hàng chính hãng-thương_hiệu dell kết_nối hdmi , vga , displayport kích_thước ( wxdxh ) - có chân_đế : 21.17 x 2.13 x 12.65 inch hiển_thị màu_sắc 16.7 triệu màu độ sáng 250 cd / m² độ tương_phản 1000 : 1 / 8000000 : 1 ( dynamic ) góc nhìn 178 độ / 178 độ model_p2418ht màn_hình hiển_thị 23.8 inch_độ phân_giải full_hd ( 1920 x 1080 ) kích_thước màn_hình 24 inch thời_gian đáp_ứng 6 ms tỉ_lệ màn_hình 16 : 9 sku_7923526917573 dưới 100 triệu"
2620,brother bt6000bk ink cho dcp-t300 / t700w / mfc-t800w ( đen ) - hàng chính hãng-thương_hiệu brother xuất_xứ philippines_sku_1656588994430 dưới 1 triệu
2621,"pin dành cho laptop_dell_inspiron_n4010 , n4050 , n4120 , n5050 , n5010 , n5030 , n7010 , n7110 , n4110 , n5110 , m4040 , m4110 , m411r , m5010 , m5040 , m511r - hàng nhập khẩu-thương_hiệu oem xuất_xứ trung_quốc sku 2247361928521 dưới 1 triệu"
2622,"totolink n150usm - usb wifi chuẩn n tốc_độ 150m_bps - hàng chính hãng-thương_hiệu totolink xuất_xứ thương_hiệu hàn_quốc phụ_kiện đi kèm 01 hướng_dẫn cài_đặt nhanh , 01 cd driver model n150usm loại anten trong nhà sản_xuất đang cập_nhật xuất_xứ việt_nam / trung_quốc loại sản_phẩm usb_wifi sku_7501519199672 dưới 1 triệu"
2623,cáp mạng 2 đầu đúc cat7 utp patch cords dạng dẹt dài 1m_ugreen_nw106 11260 - hàng chính hãng-thương hiệu ugreen_phụ_kiện đi kèm đang cập_nhật sku_8724423147686 dưới 1 triệu
2624,"hộp mực canon 325 cho máy in canon lbp 6030 , 6030 w , 6000 , mf3010-thương_hiệu oem xuất_xứ thương_hiệu china xuất_xứ china sku_4240903038793 dưới 1 triệu"
2625,ram pc_corsair_vengeance_lpx_8gb_bus 3000 ddr4_c16_non-ecc_cmk8gx4m1d3000c16 - hàng chính hãng-thương_hiệu corsair xuất_xứ thương_hiệu mỹ bus_3000mh z điện_áp 1.35_v_độ trễ 16-20-20 - 38 model cmk8gx4m1d3000c16 loại ram_desktop xuất_xứ trung_quốc ram 8gb loại ram ddr4_sku_9463550547912 dưới 100 triệu
2626,phần_mềm diệt virus eset internet security 1 user 1 year - bản_quyền 1 máy / 1 năm - hàng chính hãng-thương_hiệu eset_model_eis-1u1y_sku_7521887048259 dưới 1 triệu
2627,"ổ cứng ssd_samsung 970 pro_mz-v7p512bw_512gb_nvme m. 2 2280 - hàng nhập khẩu-thương_hiệu samsung dung_lượng ổ cứng 512gb_model_mz-v7p512bw_kiểu giao_tiếp pcie gen 3.0_× 4 , nvme_1.3_loại chip nand v-nand 2 - bit mlc xuất_xứ trung_quốc tốc_độ đọc 3500 mbps tốc_độ ghi 2300 mbps_sku_2334260832261 dưới 100 triệu"
2628,chuột không dây e-blue_ems816b ( đen ) - hàng chính hãng-thương hiệu e-blue xuất_xứ thương_hiệu trung_quốc kích_thước 116 x 63 x 37 mm model_ems816b xuất_xứ trung_quốc trọng_lượng 0.5 kg sku_5991241367265 dưới 1 triệu
2629,bộ phát_sóng wifi router_chuẩn_n_300m_bps tenda_f3 - hàng chính hãng-thương_hiệu tenda_model_f3_loại anten 3 awngten rời xuất_xứ trung_quốc loại sản_phẩm router_wifi sku_4807732789557 dưới 1 triệu
2630,dây_cáp mạng internet cat6_rj45_ethernet_meck ( 1 m ) - thương hiệu meck kích_thước dài 1 m xuất_xứ trung_quốc sku 6793518473049 dưới 1 triệu
2631,"ổ cứng ssd_kingston_a400_sata iii_480gb_sa400s37 / 480g - hàng chính hãng-thương_hiệu kingston kích_thước 2.5_inch , 6.8 mm dung_lượng ổ cứng 480gb_model_a400_sata iii_480gb_sa400s37 / 480g kích_cỡ 2.5_sku_9075330063446 dưới 100 triệu"
2632,"máy_in hóa_đơn xprinter_xp-58iih - hàng chính hãng-thương_hiệu xprinter xuất_xứ thương_hiệu trung_quốc kết_nối usb / parallel / serial / lan kích_thước kich_thước sản_phẩm : 235 × 145 × 125 mm khổ giấy in : 58 mm rộng_khổ in : 48 mm đường_kính cuộn giấy : φ60mm_độ phân_giải 576 điểm / dòng phụ_kiện đi kèm cáp , dây nguồn model_xp-58iih xuất_xứ trung_quốc sku 7870117820258 dưới 1 triệu"
2633,bộ kích sóng wifi repeater băng tần kép ac750_tp-link_re200 - hàng chính hãng-thương_hiệu tp-link kích_thước 110.0 x 65.8 x 75.2 mm loại anten 3_anten ngoài loại sản_phẩm bộ mở_rộng sóng wifi - repeater tốc_độ mạng_5gh z : up to 433m bps 2.4 ghz : up to 300m pbs sku_5426756943388 dưới 1 triệu
2634,"hộp mực 17a cho máy_in hp_m102w , mfp_m130fn , mfp_m130fw-thương_hiệu oem_sku_6714285602227 dưới 1 triệu"
2635,phần_mềm diệt virut của người việt bkav pro internet security 1pc / 1 năm - hàng chính hãng ( tặng kèm bộ vệ_sinh máy_tính ) - thương_hiệu bkav_sku_2978572796844 dưới 1 triệu
2636,"bộ_máy_tính để bàn trọn bộ mới màn 22 inch full viền full hd dùng cho dự_án văn_phòng , học_tập , bán hàng , lướt web , game giải trí-bộ nhớ đồ_họa 4g_thương_hiệu oem xuất_xứ thương_hiệu việt_nam card đồ_họa nvidia_chip set core i cpu chip intel tốc_độ cpu 3 model_h81_22fullvien xuất_xứ việt_nam trọng_lượng 12.5 kg sku_6588550264140 dưới 100 triệu"
2637,ổ cứng ssd_wd_black_sn750_500gb_nvme m. 2 2280 - hàng nhập khẩu-thương_hiệu wd_sku_5539986601963 dưới 100 triệu
2638,ram pc_kingston_hyperx_predator_ddr4_rgb_32gb_bus 3200 black_cl16_xmp ( kit_16gb x 2 ) hx432c16pb3ak2 / 32 - hàng chính hãng-thương_hiệu kingston_model_hx432c16pb3ak2 / 32 kích_thước đĩa_cứng 32gb loại ram ddr4_rgb_sku_7784615997902 dưới 100 triệu
2639,"hộp đựng ổ cứng ( hdd_box ) 2.5 "" orico usb 3.0 nhựa trong_suốt cho ổ_hdd và sdd - hàng chính hãng-thương_hiệu orico_sku_3613141065189 dưới 1 triệu"
2640,"hộp đựng ổ cứng orico_2020u3 - bk ( đen ) 2.5 "" ssd / hdd sata 3 usb_3.0 - hàng chính hãng-thương_hiệu orico xuất_xứ thương_hiệu trung_quốc kết_nối chuẩn usb3 . 0 micro-b dung_lượng ổ cứng 4tb_model_2020u3 - bk kích_cỡ ổ cứng ( mm ) 7-9 . 5 chất_liệu nhựa , nắp trượt xuất_xứ trung_quốc trọng_lượng 200 g hệ điều_hành window 10/8/7 / vista / xp và mac_9.1 trở lên tốc_độ đọc 5g bps sku_5912401152446 dưới 1 triệu"
2641,ram pc_kingmax_8gb 1600 ddr3 - hàng chính hãng-thương_hiệu kingmax_bus_1600mh z model 8gb1600 loại ram_ddr3 xuất_xứ đài_loan ram 8gb loại ram ram pc_sku_8638552404131 dưới 100 triệu
2642,ổ cứng ssd_kingston_a400 m. 2 2280 sata iii_120gb_sa400m8 / 120g - hàng chính hãng-thương_hiệu kingston xuất_xứ thương_hiệu đài_loan dung_lượng ổ cứng 120gb_model_sa400m8 / 120g xuất_xứ trung_quốc sku 7367805847203 dưới 1 triệu
2643,cáp mạng đúc sẵn 2 đầu_dài 3m_ugreen_nw103 11232 - hàng chính hãng-thương hiệu ugreen_sku_9703979680020 dưới 1 triệu
2644,hộp bảo_vệ ổ cứng 3.5 inch orico - php35-v1 - hàng chính hãng-thương_hiệu orico xuất_xứ thương_hiệu trung_quốc xuất_xứ trung_quốc sku 3360316315210 dưới 1 triệu
2645,usb kioxia 16 gb u202 ( trắng ) - hàng nhập khẩu-thương_hiệu kioxia xuất_xứ thương_hiệu japan_model_lu202-16 xuất_xứ taiwan / china sku_8908005149590 dưới 1 triệu
2646,"10 cuộn giấy decal nhiệt , in tem mã_vạch 2 tem , 35x22_mm , dài 30 m - thương_hiệu oem_sku_3330726125532 dưới 1 triệu"
2647,bộ nguồn máy_tính corsair_gaming_vs450 công_suất thực_450w - 80 plus_white ( psu_corsair_builder_series_vs450 ) - hàng fpt phân_phối-thương_hiệu corsair kích_thước 150 mm x 86 mm x 125 mm model_vs450_sku_3046878045054 dưới 1 triệu
2648,"bộ_máy_tính đồng_bộ dell_core i5-4570 / ram 8gb / ssd 120gb / hdd 500gb và màn_hình dell_21.5 inch / bàn_phím chuột dell / ban di_chuột / usb wifi - hàng nhập_khẩu-bộ nhớ đồ_họa 1gb_thương_hiệu dell_chip set intel i5 4570 cpu intel tốc_độ cpu 3,60_ghz_model_dell_optiplex_nhà sản_xuất dell_trọng_lượng 10 thiết_kế card onboad sku_4563106024036 dưới 100 triệu"
2649,"laptop asus_tuf_gaming_a15_fa506ii-al012t ( amd_ryzen_r5-4600h / 8gb ddr4_3200mh z / 512gb pcie gen3x2 / gtx 1650t i 4gb / 15.6 fhd_ips_144h z / win10 ) - hàng chính_hãng-công_nghệ âm_thanh dts : x ultra_bluetooth v5 . 0 thương_hiệu asus xuất_xứ thương_hiệu đài_loan camera hd 720 p cmos module card đồ_họa nvidia_geforce_gtx_1650t i 4gb gddr6 + amd radeon_graphics_chip set 8mb cpu amd ryzen 5 4600h tốc_độ cpu_3.0_ghz up to 4.0_ghz kích_thước 359.8 x 256 x 22.8_~_24.9 cm loại / công_nghệ màn_hình ips , 144h_z , non-glare , wide_view , narrow_bezel dung_lượng ổ cứng 512gb ssd m. 2 pcie g3x2 , 1 x slot sata3_2.5_loại ổ_đĩa ssd loại pin 3_cell_48wh r loại ram_ddr4_cổng internet ( lan ) 10/100 / 1000 / gigabits base t xuất_xứ trung_quốc trọng_lượng 2.3 kg ram 8gb_ddr4_3200mh_zhz ( 2 x so-dimm_socket , up to 32gb_sdram ) độ phân_giải full_hd ( 1920 x 1080 ) kích_thước màn_hình 15.6 inch hệ điều_hành windows 10 home wifi_802.11_ac ( 2x2 ) sku_6760431276804 dưới 10 triệu"
2650,"bộ vi xử_lý_cpu_amd ryzen 5 3500x_processors - hàng chính hãng-thương_hiệu amd xuất_xứ thương_hiệu mỹ chip set desktop kết_nối am4 công_suất 65w_phụ_kiện đi kèm cpu , fan tản nhiệt , sách hướng_dẫn model amd ryzen 5 3500x hệ điều_hành windows 10 - 64 - bit_edition , rhel_x86 64 - bit , ubuntu_x86 64 - bit_sku_9864544331935 dưới 100 triệu"
2651,ram máy_tính desktop_adata_ddr4_xpg_gammix_d10_8gb_3000mh z red - hàng chính hãng-thương_hiệu adata xuất_xứ thương_hiệu đài_loan bus_3000mh z điện_áp 1.2 v model_adata_ddr4_xpg_gammix_d10_8gb 3000 red loại ram_ddr4 xuất_xứ trung_quốc ram 8gb loại ram desktop_sku_2680918067876 dưới 100 triệu
2652,tp-link tl-wn881nd_– bộ_chuyển_đổi pci express chuẩn n tốc_độ 300m_bps - hàng chính hãng-thương_hiệu tp-link_phụ_kiện đi kèm đang cập_nhật xuất_xứ trung_quốc loại sản_phẩm card_mạng_sku_7506683905937 dưới 1 triệu
2653,ngăn_kéo đựng tiền antech_rt335 - hàng chính hãng-thương hiệu antech_sku_3065915668919 dưới 1 triệu
2654,ổ cứng ssd_samsung 980 pro m2_pcie_4.0 - hàng nhập khẩu-thương_hiệu samsung xuất_xứ thương_hiệu hàn_quốc model 980 pro xuất_xứ korea / china / vietnam sku_8670351723587 dưới 100 triệu
2655,ổ cứng di_động transcend_m3g_1tb_slim_usb_3.0 / 3.1 ts1tsj25m3g - hàng chính hãng-thương_hiệu transcend xuất_xứ thương_hiệu đài_loan kích_thước cao_129.5 mm x rộng_80.8 mm x dày_16.1 mm model_ts1tsj25m3g xuất_xứ trung_quốc sku_6739492797832 dưới 100 triệu
2656,bàn_phím + chuột không dây v60-thương_hiệu oem kích_thước kích_thước : 150 mmx445mm model v60 sku_6713087695390 dưới 1 triệu
2657,"màn_hình dell_e2020h_19.5_'_'_hd_+ ( 1600x900 ) 5 ms 60h z tn - hàng chính hãng-thương_hiệu dell xuất_xứ thương_hiệu mỹ kết_nối vga , displayport hiển_thị màu_sắc 16,7 triệu màu độ sáng 250 cd / m² độ tương_phản 1000 : 1 góc nhìn 160 ° / 170 °_phụ_kiện đi kèm cáp nguồn , hdsd_model_e2020h xuất_xứ trung_quốc kích_thước màn_hình 19.5 inch thời_gian đáp_ứng 5 ms tỉ_lệ màn_hình 16 : 9 tốc_độ làm tươi 60h z sku_9983767975938 dưới 100 triệu"
2658,bộ lưu điện ups cyberpower_bu600_600va / 360w - hàng chính hãng-thương_hiệu cyber_power xuất_xứ thương_hiệu mỹ xuất_xứ trung_quốc sku 2444917993464 dưới 1 triệu
2659,ổ cứng ssd_wd_green_120gb - wds120g1g0a - hàng chính hãng-thương hiệu wd kích_thước 7.00 mm x 69.85 mm x 100.2 mm dung_lượng ổ cứng 120gb_model_wds120g1g0a xuất_xứ trung_quốc tốc_độ đọc 540mb / s tốc_độ ghi 430mb / s sku_1405752165912 dưới 1 triệu
2660,usb hoco_64gb - hàn chính hãng-thương_hiệu hoco_sku_1938152865507 dưới 1 triệu
2661,"sạc dành cho macbook pro 20v-4 ._25a - 85w , magsafe 2 - a1436 , a1465 , a1466 , a1424 , a1398 , màn_hình 15 "" 17 "" - thương_hiệu oem xuất_xứ thương_hiệu trung_quốc xuất_xứ trung_quốc sku 9617481991621 dưới 1 triệu"
2662,chuột máy_tính có dây dareu_lm130 ( usb ) - hàng chính hãng-thương_hiệu dareu xuất_xứ thương_hiệu trung_quốc kích_thước 118 * 61 *_38.4 mm sku_8655533822032 dưới 1 triệu
2663,totolink s808g - switch 8 cổng gigabit - hàng chính hãng-thương_hiệu totolink_model_s808g xuất_xứ trung_quốc loại sản_phẩm bộ chia mạng - switch tốc_độ mạng gigabit_sku_3638584537734 dưới 1 triệu
2664,máy chiếu mini vankyo_leisure 470 - hàng chính hãng-thương_hiệu vankyo xuất_xứ thương_hiệu mỹ phụ_kiện đi kèm sản_phẩm nguyên hộp và phụ_kiện từ nhà_sản_xuất xuất_xứ trung_quốc sku_2040954718512 dưới 100 triệu
2665,chuột cảm_ứng microsoft surface arc mouse uốn_dẻo ( đen ) - thương_hiệu joy_collection trọng_lượng 0.20 kg sku_7219762766724 dưới 100 triệu
2666,bộ_nhớ ddr4_kingmax_8gb ( 2666 ) zeus_dragon_heatsink ( đỏ ) - hàng chính hãng-thương hiệu kingmax_sku_8270641488594 dưới 100 triệu
2667,"màn_hình the space_samsung_ls27r750qeexxv 27 inch wqhd ( 2560x1440 ) 4 ms 144h z va - hàng chính hãng-thương_hiệu samsung kết_nối 1 xhdmi , 1 xmini - display_port kích_thước có chân_đế ( r x c x d ) : 614.8 x 730.3 x 115.5 mm không có chân_đế ( r x c x d ) : 614.8 x 362.1 x 26.0 mm độ sáng 250 cd / m2 độ tương_phản 3.000 : 1 góc nhìn 178 ° ( h ) / 178 ° ( v ) model_ls27r750qeexxv xuất_xứ trung_quốc trọng_lượng có chân_đế 5.8 kg , không có chân_đế 3.6 kg_độ phân_giải 2560 x 1440 pixels kích_thước màn_hình 27 inch thời_gian đáp_ứng 4 ms tỉ_lệ màn_hình 16 : 9 tốc_độ làm tươi 144h z sku_3049868766328 dưới 100 triệu"
2668,ổ cứng di_động wd_my_passport_ultra - hàng nhập khẩu-thương_hiệu wd xuất_xứ thương_hiệu mỹ model_wd my ultra xuất_xứ taiwan / china / thailand sku_9935569148416 dưới 100 triệu
2669,"màn_hình viewsonic_va2732-h 27 inch 75 hz ips hàng chính hãng-thương_hiệu viewsonic xuất_xứ thương_hiệu mỹ kết_nối vga , hdmi hiển_thị màu_sắc 16.7 triệu màu độ tương_phản static contrast ratio : 1,000 : 1 ( typ ) dynamic contrast ratio : 50m : 1 góc nhìn 178_º_horizontal , 178_º_vertical phụ_kiện đi kèm package contents : va2732-h x1 , 3 - pin plug ( iec_c13 / cee22 ) x1 , vga_cable ( male-male ) x1 , ac / dc adapter_x1 , quick_start_guide x1 model va2732-h màn_hình hiển_thị ips xuất_xứ trung_quốc trọng_lượng 6 thời_gian đáp_ứng 4 ms tỉ_lệ màn_hình 16 : 9 sku_5659743397950 dưới 100 triệu"
2670,dây mạng_bấm sẵn 2 đầu cat5 10 mét ( màu ngẫu_nhiên ) - thương_hiệu oem xuất_xứ thương_hiệu trung_quốc kích_thước 8x4 x2 kích_cỡ 10 sku_3187447153944 dưới 1 triệu
2671,"hộp mực 326 , 328 dùng cho máy in canon lbp 6200 , 6200 d , 6230 dn , mf 4820 d , 4412 , 4450 , 4720 w , 4870 , mf4750 , mf4700 , d500 , d520 , l170 , ... - thương_hiệu oem xuất_xứ thương_hiệu china loại mực laser trắng_đen loại máy sử_dụng canon lbp 6200 , 6200 d , 6230 dn , mf 4820 d , 4412 , 4450 , 4720 w , 4870 , mf4750 , mf4700 , d500 , d520 , l170 , ... sku_3613313479530 dưới 1 triệu"
2672,"mực in canon cartridges_cl - 811 cho máy_in canon ip 2770 , mp 287 , ip 2772 - hàng chính hãng-thương hiệu canon xuất_xứ nhật_bản_sku_8505883760949 dưới 1 triệu"
2673,"router wi-fi_tp-link_băng tần kép , tốc_độ cao tp-link_archer_c50 - hàng chính hãng - thương_hiệu tp-link xuất_xứ thương_hiệu trung_quốc phụ_kiện đi kèm adapter , dây mạng , sổ hướng_dẫn_xuất_xứ trung_quốc sku 6096433525658 dưới 1 triệu"
2674,ổ cứng ssd_120gb_kingmax_smv32 - hàng chính hãng-thương_hiệu kingmax kích_thước 100 x 69.85 x 7.0 m dung_lượng ổ cứng 120gb loại chip nand_ssd xuất_xứ trung_quốc tốc_độ đọc 500 mb / s tốc_độ ghi 350 mb / s sku_1140600133452 dưới 1 triệu
2675,"bộ_chuyển_đổi usb_3.0 sang mạng lan 10/100 / 1000m bps rj45_gigabit_ethernet , mở_rộng thêm cổng mạng cho máy_tính , laptop ... ugreen_cm209 50922 - hàng chính hãng-thương_hiệu ugreen kích_thước 15x15_x5cm phụ_kiện đi kèm đang cập_nhật model_cm209_sku_2596536316237 dưới 1 triệu"
2676,"bộ lưu điện : apc back-ups_650va , 230v , avr , universal_sockets-bx650li-ms - hàng chính hãng-thương_hiệu apc kích_thước 223 x 143 x 347 model_bx650li-ms_sku_8591134149212 dưới 1 triệu"
2677,tp-link archer_c80_|_router_wi-fi tốc_độ cực cao_chuẩn ac1900 | hàng chính hãng-thương_hiệu tp-link xuất_xứ thương_hiệu trung_quốc phụ_kiện đi kèm sách hướng_dẫn dây lan nguồn xuất_xứ trung_quốc sku_6110272211861 dưới 100 triệu
2678,thiết_bị kích sóng wifi pix-link 4 ăng ten lv-wr09_wr09 - dc3096 - hàng nhập khẩu-thương hiệu pix-link xuất_xứ thương_hiệu trung_quốc phụ_kiện đi kèm 1 x pix-link 1 x dây mạng_model_wr09 xuất_xứ trung_quốc sku 4192958948773 dưới 1 triệu
2679,đế tản nhiệt laptop_cooler_master_notepal_l2 - hàng chính hãng-thương_hiệu cooler_master xuất_xứ thương_hiệu đài_loan kích_thước 379x285 x47 ._5 mm model_notepal_l2 kích_thước quạt 16 cm xuất_xứ trung_quốc sku 6615493072478 dưới 1 triệu
2680,"laptop msi bravo 15 a4dcr-052vn ( amd_r5-4600h / 8gb ddr4_3200mh z / 256gb ssd m. 2 pcie / rx 5300m_3gb_gddr6 / 15.6 fhd ips / win 10 ) - hàng chính_hãng-bluetooth v5 . 1 thương_hiệu msi xuất_xứ thương_hiệu đài_loan bus_3200mh_z ( 2 x so-dimm_socket , up to 32gb_sdram ) camera_hd_type ( 30 fps @ 720 p ) card đồ_họa amd_radeon_rx_5300m_3gb_gddr6 + amd radeon_graphics_chip set 8mb kết_nối 1 x rj45 , 1 x ( 4k_@_30h_z ) hdmi , 2 x type-c usb3 . 2 gen1 , 2 x type-a usb3 . 2 gen1 cpu amd ryzen 5 4600h tốc_độ cpu_3.0_ghz up to 4.0_ghz kích_thước 359 x 254 x 21.7 mm dung_lượng ổ cứng 256gb_loại ổ_đĩa ssd m. 2 pcie ( còn trống 1_khe ssd m. 2 sata / pcie ) loại pin 3_cell_51wh r loại ram_ddr4_cổng internet ( lan ) gb_lan xuất_xứ trung_quốc ram 8gb_độ phân_giải full_hd ( 1920 x 1080 ) kích_thước màn_hình 15.6 inch hệ điều_hành windows 10 home wifi intel wi-fi 6_ax200 ( 2 * 2 ax ) sku_4167841702374 dưới 10 triệu"
2681,ổ cứng di_động hdd_wd_easystore_desktop_storage_12tb - hàng nhập khẩu-thương_hiệu wd xuất_xứ thương_hiệu mỹ dung_lượng ổ cứng 12tb xuất_xứ china sku_6942167521551 dưới 100 triệu
2682,mực in brother bt5000c ink cho dcp-t300 / t700w / mfc-t800w ( xanh_lục ) - hàng chính hãng-thương_hiệu brother xuất_xứ philippines_sku_2344503993857 dưới 1 triệu
2683,quạt tản nhiệt cpu cooler_master_t400i - hàng nhập khẩu-thương_hiệu cooler_master_sku_3327376577545 dưới 1 triệu
2684,chuột có dây fuhlen_g90_optical_black_usb - hàng chính hãng - thương hiệu fuhlen kích_thước 200x150 x50 sku_9543201219211 dưới 1 triệu
2685,"máy ép màng nhựa plastic media md230 khổ a4 , tự_động điều_chỉnh nhiệt_độ , tính_năng chống kẹt giấy , nhỏ gọn thích_hợp dùng cho văn_phòng hoặc gia_đình - hàng chính hãng-thương_hiệu media ink kích_thước 36 x 13 x 7.5 cm model_md230 kích_cỡ a4_sku_6825173121710 dưới 1 triệu"
2686,ram laptop ddr4 micron 8gb_bus 3200 sodimm - hàng nhập khẩu-thương_hiệu micron xuất_xứ thương_hiệu mỹ model ram laptop ddr4 micron 8gb_bus 3200 loại ram ram laptop ddr4 micron 8gb_bus 3200 xuất_xứ korea / china / vietnam ram ram laptop ddr4 micron 8gb_bus 3200 loại ram ram laptop ddr4 micron 8gb_bus 3200 sku_5730864938977 dưới 1 triệu
2687,"màn_hình aoc_27g2 ( 27 inch / fhd / ips / 144h z / 1 ms / g sync ) - hàng chính hãng-thương_hiệu aoc xuất_xứ thương_hiệu trung_quốc phụ_kiện đi kèm - giao_tiếp : vga , hdmi , display_port xuất_xứ trung_quốc sku_6914823980651 dưới 100 triệu"
2688,"usb bluetooth cho pc , laptop_4.0 - tạo kết_nối không dây cho pc , laptop-thương_hiệu oem_sku_4967864848338 dưới 1 triệu"
2689,ram laptop_hynix_4gb_ddr4_2400mh z sodimm - hàng nhập khẩu-dưới 1 triệu
2690,ram desktop_kingston_16gb ( 2 *_8gb ) 3200mhz_ddr4_cl16_dimm_hx432c16fb3ak2 / 16 - hàng chính hãng-thương_hiệu kingston xuất_xứ thương_hiệu đài_loan bus_3200mh z model hx432c16fb3ak2 / 16 loại ram ddr4_ram_16gb ( 2 *_8gb ) loại ram desktop_sku_3726935530913 dưới 100 triệu
2691,card wifi_pc_wifi-6_ax200_gig + tích_hợp bluetooth_5.1 tốc_độ 2400m cho máy bàn dùng chip intel_wifi-6_ax200-thương_hiệu oem xuất_xứ thương_hiệu trung_quốc phụ_kiện đi kèm anten 6 dbi cáp nguồn bluetooth xuất_xứ trung_quốc sku 1203803973857 dưới 1 triệu
2692,"dây_cáp mạng hai đầu đúc sẵn cat8_sstp_vention_tròn , dài 1 m đến 20 m ikab - hàng chính hãng-thương hiệu vention xuất_xứ thương_hiệu trung_quốc kết_nối rj45 gigabit_ethernet_kết_nối dữ_liệu 5g_hiển_thị màu_sắc black_phụ_kiện đi kèm không model_ikab xuất_xứ trung_quốc trọng_lượng 900 g loại sản_phẩm phụ_kiện thiết_bị mạng_sku_7400313977731 dưới 1 triệu"
2693,ram laptop_hynix_8gb_ddr4_2133mh z sodimm - hàng nhập khẩu-thương_hiệu hynix_bus_2133mh z model_hma41gs6afr8n-tf xuất_xứ trung_quốc ram 8gb loại ram ram laptop_sku_3327841295868 dưới 1 triệu
2694,"laptop dell_vostro 3401 70227392 ( core i3-1005g1 / 4gb ddr4_2666mh z / 256gb ssd m. 2 pcie / 14 fhd / win10 ) - hàng chính hãng-bluetooth_bluetooth_5.0_thương_hiệu dell xuất_xứ thương_hiệu mỹ camera_hd_card đồ_họa intel_uhd_graphics_card_reader_sd_kết_nối 2 x usb 3.2 , 1 x usb 2.0 , 1 x micro sd card slot , lan 1 gb / s cpu_intel_core_i3-1005g1 ( 1.2_ghz - 3.4 ghz / 4mb / 2 nhân , 4 luồng ) kích_thước 32.87 x 23.95 x 1.99 cm loại / công_nghệ màn_hình 14 ( 1920 x 1080 ) full_hd_wva không cảm_ứng , hd webcam dung_lượng ổ cứng 256gb ssd m. 2 nvme / 1tb hdd_5400rpm_model_f3401-70227392_loại pin 3 cell 42 wh , pin liền xuất_xứ trung_quốc trọng_lượng 1.6 kg ram 1 x 4gb_ddr4_2666mh_z ( 2_khe cắm / hỗ_trợ tối_đa 16gb ) kích_thước màn_hình 14 inch hệ điều_hành windows 10 home_sl_64 - bit wifi_wifi_802.11 ac sku_3475652098885 dưới 10 triệu"
2695,"ổ cứng gắn trong ssd_samsung_pm9a1_m2_pcie_4.0 - hàng nhập khẩu-thương_hiệu samsung xuất_xứ thương_hiệu hàn_quốc dung_lượng ổ cứng 256gb , 512gb , 1tb_model_ssd_samsung_pm9a1_m2_pcie_4.0 xuất_xứ china tốc_độ đọc 6000 mb / s . tốc_độ ghi 6000 mb / s ._sku_4004646767122 dưới 100 triệu"
2696,usb bluetooth_4.0_ugreen - hàng chính hãng-thương_hiệu ugreen xuất_xứ thương_hiệu trung_quốc model 30443 xuất_xứ trung_quốc sku 9955984783443 dưới 1 triệu
2697,usb sandisk_cz430_ultra_fit_128gb - usb_3.1 - hàng chính hãng-thương_hiệu sandisk xuất_xứ trung_quốc sku 7842161203028 dưới 1 triệu
2698,usb sound_bluetooth-thương_hiệu oem_sku_4480951731790 dưới 1 triệu
2699,bộ thu usb_wifi_150m bps w311ma cho laptop_pc tốc_độ cao-thương hiệu oem xuất_xứ thương_hiệu trung_quốc phụ_kiện đi kèm đĩa_cd cài_đặt driver nếu không tự nhận driver xuất_xứ trung_quốc sku 1465276928929 dưới 1 triệu
